Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
32,2023-01-04,CUST032,Male,30.0,Beauty,3,30.0,90.0
110,2023-06-11,CUST110,Male,27.0,Clothing,3,300.0,900.0
137,2023-11-18,CUST137,Male,46.0,Beauty,2,500.0,1000.0
89,2023-10-01,CUST089,,55.0,Electronics,4,500.0,2000.0
919,2023-09-09,,Female,22.0,Beauty,2,25.0,50.0
575,2023-03-28,CUST575,Male,60.0,,2,50.0,100.0
871,2023-08-31,CUST871,Male,62.0,Beauty,2,30.0,60.0
319,2023-10-05,CUST319,,31.0,Clothing,1,500.0,500.0
262,2023-07-30,CUST262,female,32.0,Beauty,4,30.0,120.0
536,2023-03-05,CUST536,Female,55.0,Beauty,4,30.0,120.0
920,2023-02-22,CUST920,,28.0,Beauty,3,25.0,75.0
597,2023-08-22,CUST597,Male,22.0,Beauty,4,300.0,1200.0
77,2023-07-09,CUST077,Female,47.0,Clothing,2,50.0,100.0
108,2023-04-19,CUST108,Female,27.0,Beauty,3,25.0,75.0
425,2023-05-15,CUST425,Female,55.0,Electronics,4,30.0,120.0
585,2023-05-01,CUST585,Female,24.0,Clothing,1,25.0,42.25175532250138
854,2023-12-20,CUST854,Male,29.0,Clothing,1,50.0,50.0
665,2023-04-20,CUST665,Male,,Clothing,1,50.0,50.0
830,2023-06-22,CUST830,Female,64.0,Clothing,3,50.0,150.0
421,2023-01-02,CUST421,Female,37.0,Clothing,3,500.0,1500.0
598,2023-08-01,CUST598,Male,37.0,Beauty,4,30.0,120.0
459,2023-03-21,CUST459,Male,28.0,Clothing,4,300.0,1200.0
313,2023-03-21,CUST313,Female,55.0,Beauty,3,500.0,1500.0
650,2024-01-01,CUST650,Male,55.0,Electronics,1,30.0,30.0
366,2023-02-07,CUST366,Male,57.0,,2,50.0,100.0
322,2023-01-30,CUST322,Male,51.0,Electronics,1,500.0,500.0
630,2023-08-15,CUST630,Male,42.0,Clothing,2,,100.0
915,2023-05-30,CUST915,Female,26.0,Beauty,3,30.0,90.0
469,2023-05-08,CUST469,Male,18.0,Beauty,3,25.0,
599,2023-11-19,CUST599,Female,28.0,Beauty,2,50.0,100.0
395,2023-12-06,CUST395,Male,50.0,Electronics,2,500.0,1000.0
537,2023-06-03,CUST537,female,21.0,Beauty,1,500.0,500.0
721,2023-05-14,CUST721,Female,52.0,Clothing,1,500.0,500.0
334,2023-11-01,CUST334,,31.0,Electronics,3,300.0,900.0
410,2023-11-21,CUST410,Female,29.0,Clothing,2,50.0,100.0
60,2023-10-23,CUST060,Male,30.0,Beauty,3,50.0,150.0
257,2023-02-19,CUST257,Male,19.0,Beauty,4,500.0,2000.0
970,2023-05-16,CUST970,Male,59.0,Electronics,4,500.0,2000.0
686,2023-07-19,CUST686,Female,28.0,Electronics,4,50.0,200.0
343,2023-11-01,CUST343,Male,21.0,Electronics,2,25.0,50.0
636,2023-03-23,CUST636,Female,21.0,Beauty,3,500.0,1500.0
709,2023-07-21,CUST709,Female,19.0,Electronics,2,500.0,1000.0
11,2023-02-14,CUST011,Male,23.0,Clothing,2,50.0,100.0
486,2023-04-09,CUST486,Female,35.0,Electronics,1,25.0,25.0
210,2023-04-13,CUST210,,37.0,Electronics,4,50.0,200.0
140,2023-08-05,CUST140,Male,38.0,Electronics,1,30.0,30.0
389,2023-12-01,CUST389,Male,21.0,Clothing,2,25.0,84.50351064500276
623,2023-03-10,CUST623,Male,34.0,Clothing,3,50.0,150.0
825,,CUST825,Female,46.0,Beauty,1,25.0,25.0
718,2023-08-25,CUST718,Female,59.0,Beauty,3,25.0,75.0
846,2023-09-22,CUST846,Male,42.0,Beauty,1,50.0,50.0
688,2023-10-03,CUST688,Male,56.0,Clothing,4,25.0,100.0
936,2023-02-07,CUST936,Male,57.0,Beauty,4,50.0,200.0
582,2023-11-14,CUST582,Male,35.0,Clothing,3,300.0,900.0
383,2023-03-22,CUST383,Female,46.0,Beauty,3,30.0,90.0
71,2023-07-14,CUST071,Female,51.0,Beauty,4,25.0,100.0
261,2023-08-05,CUST261,Male,21.0,Clothing,2,25.0,50.0
801,2023-08-10,CUST801,Male,21.0,Clothing,4,50.0,200.0
454,2023-02-22,CUST454,Female,46.0,Beauty,1,25.0,25.0
592,2023-01-24,CUST592,Female,46.0,Beauty,4,500.0,2000.0
907,2023-01-08,CUST907,Female,45.0,Electronics,1,25.0,25.0
785,2023-03-03,CUST785,Female,31.0,Beauty,4,50.0,200.0
214,2023-12-10,CUST214,Male,20.0,Beauty,2,30.0,60.0
97,2023-10-13,CUST097,Female,,Beauty,2,500.0,1000.0
680,2023-10-22,CUST680,Female,53.0,Clothing,3,300.0,900.0
850,2023-07-28,CUST850,Female,26.0,Beauty,2,500.0,1000.0
251,2023-08-31,CUST251,Female,57.0,Beauty,4,50.0,200.0
881,2023-05-19,CUST881,male,22.0,Electronics,1,300.0,300.0
193,2023-02-13,CUST193,Male,35.0,Beauty,3,500.0,1500.0
281,2023-05-23,CUST281,Female,29.0,Beauty,4,500.0,2000.0
534,2023-06-10,CUST534,Male,45.0,Clothing,2,500.0,1000.0
683,2023-01-04,CUST683,Male,38.0,Beauty,2,500.0,1000.0
618,2023-01-26,CUST618,Female,27.0,Beauty,1,50.0,50.0
983,2023-11-01,CUST983,Female,29.0,Clothing,1,300.0,300.0
911,2023-05-21,CUST911,Male,42.0,Electronics,3,300.0,900.0
185,2023-02-27,CUST185,Male,24.0,Clothing,1,25.0,25.0
31,2023-05-23,CUST031,Male,44.0,Electronics,4,300.0,2028.0842554800663
329,2023-01-30,CUST329,Female,46.0,Electronics,4,25.0,100.0
507,2023-11-02,CUST507,Female,37.0,Electronics,3,500.0,1500.0
55,2023-10-10,CUST055,Male,31.0,Beauty,4,30.0,120.0
24,2023-11-29,CUST024,Female,49.0,,1,300.0,300.0
102,2023-04-28,CUST102,Female,47.0,Beauty,2,25.0,50.0
550,2023-12-07,CUST550,Male,40.0,Clothing,3,300.0,900.0
248,2023-03-09,CUST248,Male,26.0,Clothing,3,,900.0
4,2023-05-21,CUST004,Male,37.0,clothing,1,500.0,500.0
87,2023-11-22,CUST087,Female,28.0,Beauty,2,50.0,100.0
844,2023-10-12,CUST844,Male,35.0,clothing,3,50.0,150.0
953,2023-04-26,CUST953,Male,45.0,Beauty,3,30.0,90.0
291,2023-01-08,CUST291,Male,60.0,Clothing,2,300.0,600.0
211,2024-01-01,CUST211,male,42.0,Beauty,3,500.0,1500.0
803,2023-11-22,CUST803,Male,39.0,Clothing,4,25.0,100.0
175,2023-03-20,CUST175,Female,31.0,Electronics,4,25.0,100.0
200,2023-09-01,CUST200,Male,27.0,Beauty,3,50.0,150.0
903,2023-04-27,CUST903,Female,51.0,Beauty,4,50.0,200.0
115,2023-11-26,CUST115,Male,51.0,Clothing,3,500.0,1500.0
64,2023-01-24,CUST064,Male,49.0,Clothing,4,25.0,100.0
266,2023-12-01,CUST266,Female,19.0,Electronics,2,30.0,60.0
232,2023-02-06,CUST232,Female,43.0,Beauty,1,25.0,25.0
804,2023-08-24,CUST804,Male,42.0,Electronics,1,30.0,30.0
626,2023-09-29,CUST626,Female,26.0,clothing,4,500.0,2000.0
569,2023-08-15,CUST569,Male,52.0,Electronics,4,50.0,200.0
855,2023-09-01,CUST855,Male,54.0,Beauty,1,25.0,25.0
40,2023-06-22,CUST040,Male,45.0,,1,50.0,50.0
807,2023-08-11,CUST807,Female,50.0,Electronics,4,50.0,200.0
169,2023-11-17,CUST169,Male,18.0,Beauty,3,500.0,1500.0
591,2023-01-13,CUST591,Male,53.0,Electronics,4,25.0,100.0
465,2023-04-02,CUST465,Female,43.0,Electronics,3,50.0,150.0
999,2023-12-05,CUST999,Female,36.0,Electronics,3,50.0,150.0
443,2023-08-09,CUST443,Male,29.0,Clothing,2,300.0,600.0
909,2023-10-01,CUST909,Male,26.0,Electronics,1,300.0,300.0
67,2023-05-29,CUST067,Female,48.0,Beauty,4,300.0,1200.0
308,2023-08-05,CUST308,Female,34.0,Beauty,4,300.0,1200.0
68,2023-02-10,CUST068,Male,25.0,Electronics,1,300.0,300.0
199,,CUST199,,45.0,Beauty,3,500.0,1500.0
529,2023-08-09,CUST529,Female,35.0,Clothing,3,50.0,150.0
482,2023-04-27,CUST482,Female,-1.0,Clothing,4,300.0,1200.0
758,2023-05-12,CUST758,Male,64.0,Clothing,4,25.0,100.0
988,2023-05-28,CUST988,Female,63.0,Clothing,3,25.0,75.0
363,2023-06-03,CUST363,Male,64.0,beauty,1,25.0,25.0
845,2023-01-06,CUST845,Male,54.0,clothing,1,500.0,500.0
559,2023-01-01,CUST559,Female,40.0,Clothing,4,300.0,1200.0
619,2023-10-13,CUST619,Male,47.0,Electronics,4,25.0,100.0
353,2023-05-14,CUST353,Male,31.0,Electronics,1,500.0,500.0
761,2023-11-07,CUST761,Female,33.0,Clothing,1,500.0,500.0
930,2023-05-10,CUST930,Male,54.0,,4,50.0,200.0
293,2023-05-02,CUST293,Male,,Electronics,3,30.0,90.0
753,2023-02-28,CUST753,Female,32.0,Clothing,1,30.0,30.0
101,2023-01-29,CUST101,Male,32.0,Clothing,2,300.0,600.0
224,2023-06-23,CUST224,Female,25.0,Clothing,1,50.0,50.0
719,2023-04-04,CUST719,Female,42.0,Clothing,2,30.0,101.40421277400333
809,2023-09-25,CUST809,Female,62.0,Beauty,2,50.0,100.0
306,2023-08-21,CUST306,male,54.0,Electronics,1,50.0,50.0
629,2023-06-12,CUST629,Male,62.0,Electronics,2,25.0,50.0
159,2023-05-31,CUST159,Male,26.0,Clothing,4,50.0,200.0
552,2023-12-13,CUST552,Female,49.0,Electronics,3,25.0,75.0
3,2023-01-13,CUST003,Male,50.0,Electronics,1,30.0,30.0
729,2023-05-23,CUST729,Male,29.0,Clothing,4,300.0,1200.0
209,2023-12-20,CUST209,Female,30.0,Electronics,4,50.0,200.0
300,2023-01-31,CUST300,Female,19.0,Electronics,4,50.0,200.0
851,2023-09-08,CUST851,Male,32.0,Electronics,2,25.0,50.0
437,not-a-date,CUST437,Female,35.0,Electronics,4,300.0,1200.0
870,2023-07-08,CUST870,Female,46.0,Electronics,4,30.0,120.0
412,2023-09-16,CUST412,Female,19.0,Electronics,4,,2000.0
615,not-a-date,CUST615,Female,61.0,Clothing,4,25.0,100.0
908,2023-12-29,CUST908,Male,46.0,Beauty,4,300.0,2028.0842554800663
913,2023-01-28,CUST913,Male,29.0,Electronics,3,30.0,90.0
997,2023-11-17,CUST997,Male,52.0,Beauty,3,30.0,152.106319161005
963,2023-11-14,CUST963,Female,55.0,Beauty,1,50.0,50.0
701,2023-12-14,CUST701,Female,52.0,Beauty,2,30.0,60.0
779,2023-05-05,CUST779,,56.0,Electronics,2,500.0,1000.0
307,2023-05-27,CUST307,Female,26.0,Electronics,2,25.0,50.0
433,2023-02-27,CUST433,Male,29.0,Beauty,4,50.0,200.0
494,2023-09-18,CUST494,Female,42.0,Beauty,4,,200.0
424,2023-11-23,CUST424,Male,57.0,Beauty,4,300.0,1200.0
299,2023-07-25,CUST299,Male,61.0,Electronics,2,500.0,1000.0
468,2023-12-09,CUST468,Male,40.0,Electronics,1,25.0,25.0
885,2023-03-03,CUST885,Female,52.0,Clothing,4,30.0,120.0
756,2023-08-27,CUST756,Female,62.0,Electronics,4,300.0,1200.0
107,2023-02-03,CUST107,Female,21.0,Clothing,4,300.0,1200.0
859,2023-08-18,CUST859,Female,-1.0,Electronics,3,500.0,1500.0
56,2023-05-31,CUST056,Female,26.0,Clothing,3,300.0,900.0
121,2023-10-15,CUST121,Female,28.0,Electronics,4,50.0,
311,2023-12-05,CUST311,Female,32.0,Beauty,4,25.0,100.0
26,2023-10-07,CUST026,Female,28.0,Electronics,2,500.0,1000.0
73,2023-08-21,CUST073,Male,29.0,Electronics,3,30.0,90.0
531,2023-12-07,CUST531,Male,31.0,Electronics,1,500.0,500.0
45,2023-07-03,CUST045,Female,55.0,Electronics,1,30.0,30.0
276,2023-10-02,CUST276,female,21.0,Beauty,4,25.0,100.0
479,2023-08-24,CUST479,Male,52.0,Electronics,4,300.0,1200.0
315,2023-06-01,CUST315,Male,47.0,Clothing,2,30.0,60.0
337,2023-05-01,CUST337,Male,38.0,Clothing,1,500.0,500.0
690,2023-11-05,CUST690,,52.0,Clothing,3,300.0,900.0
431,2023-10-15,CUST431,male,63.0,Electronics,4,300.0,1200.0
951,2023-11-02,CUST951,Male,33.0,Beauty,2,50.0,100.0
834,,CUST834,Female,56.0,Beauty,2,30.0,60.0
589,2023-04-12,CUST589,Female,36.0,Beauty,2,500.0,1000.0
704,2023-08-28,CUST704,Female,62.0,Clothing,3,30.0,90.0
328,2023-03-22,CUST328,Male,39.0,,2,50.0,100.0
605,2023-07-24,CUST605,Male,37.0,Electronics,2,500.0,1000.0
604,2023-09-11,CUST604,Female,29.0,Electronics,4,50.0,200.0
928,2023-04-05,CUST928,Female,35.0,Clothing,4,300.0,1200.0
981,2023-08-19,CUST981,Female,30.0,Electronics,2,30.0,60.0
972,2023-02-11,CUST972,Male,49.0,Beauty,4,25.0,100.0
763,2023-02-28,CUST763,Male,34.0,Clothing,2,25.0,50.0
332,2023-04-06,CUST332,Male,58.0,Electronics,4,300.0,1200.0
61,2023-04-09,CUST061,Male,21.0,Beauty,4,50.0,200.0
746,2023-01-11,CUST746,Female,33.0,clothing,3,30.0,90.0
372,2023-02-07,CUST372,Female,24.0,Beauty,3,500.0,1500.0
93,2023-07-14,CUST093,Female,35.0,Beauty,4,500.0,2000.0
723,2023-06-17,CUST723,Female,54.0,Beauty,4,50.0,200.0
491,2023-05-23,CUST491,Female,60.0,Electronics,3,,900.0
463,2023-07-31,CUST463,Female,54.0,Beauty,3,500.0,1500.0
219,2023-08-20,CUST219,Female,53.0,Electronics,3,30.0,90.0
514,2023-03-01,CUST514,Female,18.0,Electronics,1,300.0,300.0
621,2023-03-04,CUST621,Female,40.0,Beauty,2,500.0,1000.0
426,2023-03-24,CUST426,Male,23.0,Electronics,3,50.0,150.0
333,2023-02-05,CUST333,Female,54.0,electronics,4,300.0,1200.0
860,2023-01-09,CUST860,,63.0,Clothing,4,50.0,200.0
990,2023-05-25,CUST990,Female,58.0,Beauty,2,500.0,1000.0
583,2023-06-21,CUST583,Female,24.0,Electronics,4,25.0,100.0
356,2023-06-10,CUST356,Male,50.0,Electronics,3,500.0,1500.0
483,2023-04-25,CUST483,Male,55.0,Clothing,1,30.0,30.0
546,2023-10-11,CUST546,Female,36.0,Electronics,4,50.0,200.0
111,,CUST111,Female,34.0,Electronics,3,500.0,1500.0
515,2023-07-17,CUST515,female,49.0,,3,300.0,900.0
603,2023-07-16,CUST603,Female,40.0,Clothing,3,30.0,90.0
996,2023-05-16,CUST996,Male,62.0,Clothing,1,,50.0
508,2023-08-11,CUST508,Male,58.0,Beauty,2,,600.0
335,2023-02-04,CUST335,Female,,Beauty,4,30.0,120.0
849,2023-05-04,CUST849,Male,32.0,Clothing,2,25.0,50.0
295,2023-07-28,CUST295,Female,27.0,Beauty,3,300.0,900.0
287,2023-02-20,CUST287,Male,54.0,Clothing,4,25.0,100.0
939,not-a-date,CUST939,Female,46.0,Electronics,1,300.0,300.0
448,2023-01-21,CUST448,Female,54.0,Beauty,2,30.0,60.0
693,2023-04-23,CUST693,Male,41.0,Beauty,3,500.0,
653,2023-05-20,CUST653,Male,54.0,Clothing,3,25.0,75.0
969,,CUST969,Female,40.0,Clothing,3,300.0,
278,2023-03-13,CUST278,Female,37.0,Clothing,4,25.0,100.0
759,2023-07-08,CUST759,,49.0,Electronics,2,50.0,100.0
138,2023-03-23,CUST138,Male,49.0,Clothing,4,50.0,200.0
502,2023-04-02,CUST502,Male,,Electronics,3,50.0,150.0
405,2023-11-06,CUST405,Female,25.0,Clothing,4,300.0,1200.0
524,2023-10-03,CUST524,Male,46.0,Beauty,4,300.0,1200.0
781,2023-12-23,CUST781,Male,35.0,Beauty,1,500.0,500.0
978,2023-03-22,CUST978,Female,53.0,Clothing,3,50.0,150.0
581,2023-11-21,CUST581,Female,48.0,Beauty,2,30.0,60.0
238,2023-01-17,CUST238,Female,39.0,Beauty,1,500.0,500.0
989,2023-12-28,CUST989,Female,44.0,Electronics,1,25.0,25.0
216,2023-07-11,CUST216,Male,62.0,Electronics,2,50.0,100.0
895,2023-05-22,CUST895,Female,55.0,Clothing,4,30.0,120.0
245,2023-09-06,CUST245,Male,47.0,Clothing,3,30.0,90.0
553,2023-03-31,CUST553,Male,,Clothing,4,300.0,1200.0
838,2023-05-13,CUST838,Male,47.0,Electronics,2,300.0,600.0
864,2023-07-27,CUST864,Female,51.0,Electronics,1,500.0,500.0
668,2023-07-28,CUST668,Female,62.0,Electronics,3,50.0,150.0
622,2023-08-22,CUST622,Female,49.0,Beauty,3,25.0,75.0
79,2023-04-18,CUST079,Male,34.0,beauty,1,300.0,300.0
30,2023-10-29,CUST030,Female,39.0,Beauty,3,300.0,900.0
451,2023-12-16,CUST451,Female,45.0,Electronics,1,30.0,30.0
290,2023-10-04,CUST290,Female,30.0,Beauty,2,300.0,600.0
50,2023-08-24,CUST050,Female,27.0,Beauty,3,25.0,75.0
671,2023-08-27,CUST671,Male,62.0,Electronics,3,50.0,150.0
799,2023-09-08,CUST799,Male,56.0,Electronics,2,50.0,100.0
96,2023-12-19,CUST096,Female,44.0,Clothing,2,300.0,600.0
166,2023-04-02,CUST166,Male,34.0,Clothing,4,500.0,2000.0
931,2023-09-02,CUST931,Male,30.0,Beauty,4,30.0,120.0
179,2023-09-29,CUST179,Male,31.0,Electronics,1,300.0,300.0
694,2023-05-20,CUST694,Female,39.0,Electronics,2,25.0,50.0
66,2023-04-27,CUST066,Female,,Electronics,1,30.0,30.0
142,2023-02-02,CUST142,Male,35.0,Electronics,4,,1200.0
986,2023-01-17,CUST986,Female,49.0,Clothing,2,500.0,1690.0702129000554
352,2023-06-11,CUST352,Male,57.0,Electronics,2,500.0,1000.0
862,2023-05-31,CUST862,Male,28.0,Electronics,4,300.0,1200.0
441,2023-10-10,CUST441,,57.0,Beauty,4,300.0,1200.0
347,2023-08-03,CUST347,Male,42.0,Electronics,1,25.0,25.0
255,2023-04-08,CUST255,Male,48.0,Clothing,1,30.0,30.0
695,,CUST695,Female,22.0,Electronics,3,50.0,150.0
345,2023-11-14,CUST345,Male,62.0,Electronics,1,30.0,30.0
222,2023-04-26,CUST222,Male,51.0,clothing,4,30.0,120.0
236,2023-04-28,CUST236,Female,54.0,Clothing,1,25.0,25.0
548,2023-04-09,CUST548,Female,51.0,Clothing,2,30.0,60.0
500,2023-03-01,CUST500,Female,60.0,Beauty,4,25.0,100.0
596,2023-02-07,CUST596,Female,64.0,Electronics,1,300.0,300.0
941,2023-03-19,CUST941,,57.0,Clothing,2,25.0,50.0
250,2023-10-23,CUST250,Male,48.0,Electronics,1,50.0,50.0
760,2023-03-27,CUST760,Male,27.0,Beauty,1,500.0,500.0
382,2023-05-26,CUST382,Female,53.0,Clothing,2,500.0,1000.0
72,2023-05-23,CUST072,Female,20.0,Electronics,4,500.0,2000.0
95,2023-11-24,CUST095,Female,32.0,Clothing,2,30.0,60.0
34,2023-12-24,CUST034,Female,51.0,Clothing,3,50.0,150.0
260,2023-07-01,CUST260,Male,28.0,Beauty,2,30.0,60.0
205,not-a-date,CUST205,Female,43.0,Clothing,1,25.0,25.0
360,2023-03-09,CUST360,Male,42.0,Clothing,4,25.0,100.0
602,2023-12-23,CUST602,Female,20.0,,1,300.0,300.0
399,2023-03-01,CUST399,Female,64.0,Beauty,2,30.0,60.0
78,2023-07-01,CUST078,Female,47.0,Clothing,3,500.0,1500.0
85,2023-02-06,CUST085,Male,31.0,Clothing,3,50.0,150.0
320,2023-02-01,CUST320,Female,28.0,Electronics,4,300.0,1200.0
83,2023-12-16,CUST083,Male,54.0,Electronics,2,50.0,100.0
948,2023-10-13,,Female,23.0,Electronics,3,25.0,75.0
708,2023-01-14,CUST708,Female,43.0,beauty,3,300.0,900.0
539,2023-06-08,CUST539,Male,,Beauty,1,500.0,500.0
544,not-a-date,CUST544,Female,27.0,electronics,-3,25.0,42.25175532250138
826,2023-10-19,CUST826,Female,46.0,Clothing,1,300.0,300.0
429,2023-12-28,CUST429,Male,64.0,Electronics,2,25.0,50.0
310,2023-10-12,CUST310,Female,28.0,Beauty,1,25.0,25.0
6,2023-04-25,CUST006,Female,45.0,Beauty,1,30.0,30.0
789,2023-09-30,CUST789,Female,61.0,,4,500.0,2000.0
105,2023-07-25,CUST105,female,22.0,Electronics,1,500.0,500.0
98,2023-04-23,CUST098,Female,55.0,Beauty,2,50.0,100.0
297,2023-09-04,CUST297,Female,40.0,Electronics,2,500.0,1000.0
409,2023-12-18,CUST409,Female,21.0,electronics,3,300.0,900.0
446,2023-06-07,CUST446,Male,21.0,Electronics,1,50.0,84.50351064500276
904,2023-07-04,CUST904,Male,28.0,Clothing,1,500.0,500.0
282,2023-08-25,CUST282,Female,64.0,Electronics,4,50.0,200.0
267,2023-11-27,CUST267,Female,32.0,Beauty,3,30.0,90.0
740,2023-02-05,CUST740,Female,25.0,Beauty,4,50.0,200.0
887,2023-06-11,CUST887,Male,59.0,Clothing,4,25.0,100.0
535,2023-12-06,CUST535,Male,47.0,beauty,-3,30.0,90.0
433,2023-02-27,CUST433,Male,,Beauty,4,50.0,200.0
912,2023-01-24,CUST912,Male,51.0,Beauty,3,50.0,150.0
657,2023-02-11,CUST657,Male,40.0,Clothing,1,25.0,25.0
119,2023-03-13,CUST119,Female,60.0,Clothing,3,,150.0
406,2023-04-18,CUST406,Female,22.0,Beauty,4,25.0,100.0
251,2023-08-31,CUST251,Female,57.0,Beauty,4,50.0,200.0
378,2023-06-28,CUST378,Male,50.0,Beauty,1,300.0,300.0
616,2023-09-23,CUST616,Male,41.0,Clothing,2,50.0,100.0
10,2023-10-07,CUST010,Female,52.0,Clothing,4,50.0,200.0
358,2023-05-16,CUST358,Female,32.0,Beauty,1,300.0,300.0
197,2023-03-06,CUST197,Female,42.0,Clothing,4,50.0,200.0
632,2023-09-16,CUST632,female,26.0,Electronics,4,25.0,100.0
82,2023-12-26,CUST082,female,-1.0,Beauty,4,50.0,200.0
527,2023-04-11,CUST527,Male,57.0,Clothing,2,25.0,50.0
831,2023-01-15,CUST831,Male,27.0,Electronics,4,25.0,100.0
906,2023-06-04,CUST906,Female,20.0,Clothing,1,50.0,50.0
240,2023-02-06,CUST240,Female,23.0,Beauty,1,300.0,300.0
324,not-a-date,CUST324,Female,52.0,,3,50.0,150.0
212,2023-06-09,CUST212,Male,21.0,Clothing,3,500.0,1500.0
847,2023-04-08,CUST847,Female,18.0,Electronics,4,300.0,1200.0
549,2023-08-04,CUST549,Female,,Beauty,2,50.0,100.0
498,2023-06-19,CUST498,Female,50.0,Clothing,4,25.0,
228,2023-04-28,CUST228,Female,59.0,Electronics,2,30.0,60.0
892,2023-04-09,CUST892,Male,20.0,Electronics,1,50.0,50.0
815,2023-08-27,CUST815,Female,51.0,Clothing,3,25.0,75.0
829,2023-07-14,CUST829,Male,61.0,Beauty,3,30.0,90.0
178,2023-10-04,CUST178,Male,40.0,Clothing,2,30.0,60.0
975,2023-03-30,CUST975,Female,56.0,Clothing,4,50.0,200.0
434,2023-02-08,CUST434,Female,43.0,Electronics,2,,50.0
944,2023-06-05,CUST944,Male,44.0,Clothing,2,25.0,50.0
517,2023-04-08,CUST517,Female,47.0,Clothing,4,25.0,100.0
351,2023-09-25,CUST351,Female,,Clothing,3,30.0,90.0
519,2023-01-23,CUST519,Female,36.0,Electronics,4,30.0,120.0
8,2023-02-22,CUST008,male,30.0,Electronics,4,25.0,100.0
156,2023-11-25,CUST156,Female,43.0,Clothing,4,25.0,100.0
945,2023-02-13,CUST945,Male,30.0,Beauty,1,25.0,25.0
33,2023-03-23,CUST033,Female,50.0,Electronics,2,50.0,100.0
330,2023-09-18,CUST330,Female,25.0,Beauty,4,50.0,200.0
543,2023-07-26,CUST543,Male,,Beauty,2,,600.0
440,2023-10-26,CUST440,Male,64.0,Clothing,2,300.0,600.0
810,2023-11-30,CUST810,Male,59.0,Electronics,4,25.0,100.0
901,2023-04-10,CUST901,Male,31.0,Electronics,1,30.0,30.0
371,2023-02-21,CUST371,Female,20.0,Beauty,1,25.0,25.0
605,2023-07-24,CUST605,Male,37.0,Electronics,2,500.0,1000.0
